,level_0,station,date,tmax,tmin,tavg,depart,dewpoint,wetbulb,heat,cool,sunrise,sunset,codesum,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,year,month,week,dayofweek
0,0,1,2007-05-01,83,50,67,14,51,56,0,2,448,1849, ,0.00,29.1,29.82,1.7,27,9.2,2007,5,18,1
1,1,1,2007-05-02,59,42,51,-3,42,47,14,0,447,1850,BR,0.00,29.38,30.09,13.0,4,13.4,2007,5,18,2
2,2,1,2007-05-03,66,46,56,2,40,48,9,0,446,1851, ,0.00,29.39,30.12,11.7,7,11.9,2007,5,18,3
3,3,1,2007-05-04,66,49,58,4,41,50,7,0,444,1852,RA, 0.00,29.31,30.05,10.4,8,10.8,2007,5,18,4
4,4,1,2007-05-05,66,53,60,5,38,49,5,0,443,1853, , 0.00,29.4,30.1,11.7,7,12.0,2007,5,18,5
5,5,1,2007-05-06,68,49,59,4,30,46,6,0,442,1855, ,0.00,29.57,30.29,14.4,11,15.0,2007,5,18,6
6,6,1,2007-05-07,83,47,65,10,41,54,0,0,441,1856,RA, 0.00,29.38,30.12,8.6,18,10.5,2007,5,19,0
7,7,1,2007-05-08,82,54,68,12,58,62,0,3,439,1857,BR,0.00,29.29,30.03,2.7,11,5.8,2007,5,19,1
8,8,1,2007-05-09,77,61,69,13,59,63,0,4,438,1858,BR HZ,0.13,29.21,29.94,3.9,9,6.2,2007,5,19,2
9,9,1,2007-05-10,84,56,70,14,52,60,0,5,437,1859,BR,0.00,29.2,29.92,0.7,17,4.1,2007,5,19,3
10,10,1,2007-05-11,70,51,61,4,42,51,4,0,436,1900, ,0.00,29.33,30.04,11.3,3,12.9,2007,5,19,4
11,11,1,2007-05-12,64,46,55,-2,36,46,10,0,435,1901, ,0.00,29.49,30.2,12.4,3,12.9,2007,5,19,5
12,12,1,2007-05-13,69,43,56,-2,33,46,9,0,434,1902, ,0.00,29.49,30.24,6.6,14,8.1,2007,5,19,6
13,13,1,2007-05-14,90,56,73,15,47,59,0,8,433,1903, ,0.00,29.23,29.97,16.9,21,17.3,2007,5,20,0
14,14,1,2007-05-15,80,57,69,11,56,61,0,4,432,1904,RA BR,0.38,29.13,29.84,8.1,27,12.3,2007,5,20,1
15,15,1,2007-05-16,66,44,55,-4,43,48,10,0,431,1905,RA BR,0.14,29.33,30.03,7.8,36,12.2,2007,5,20,2
16,16,1,2007-05-17,62,43,53,-6,32,43,12,0,430,1906, ,0.00,29.55,30.27,10.5,3,11.3,2007,5,20,3
17,17,1,2007-05-18,71,42,57,-3,30,46,8,0,429,1907, ,0.00,29.53,30.25,5.4,25,7.5,2007,5,20,4
18,18,1,2007-05-19,80,56,68,8,39,53,0,3,428,1908, ,0.00,29.34,30.08,11.1,24,11.4,2007,5,20,5
19,19,1,2007-05-20,69,43,56,-5,40,44,9,0,427,1909,RA VCTS,0.07,29.38,30.11,10.4,4,10.7,2007,5,20,6
20,20,1,2007-05-21,80,44,62,1,50,56,3,0,426,1910, ,0.00,29.33,30.06,6.3,11,8.2,2007,5,21,0
21,21,1,2007-05-22,87,55,71,10,46,58,0,6,425,1911, ,0.00,29.34,30.06,10.0,18,10.2,2007,5,21,1
22,22,1,2007-05-23,89,60,75,14,49,61,0,10,425,1912, ,0.00,29.39,30.1,11.4,19,11.8,2007,5,21,2
23,23,1,2007-05-24,88,63,76,14,54,63,0,11,424,1913,RA HZ,0.02,29.41,30.11,14.9,21,17.3,2007,5,21,3
24,24,1,2007-05-25,70,56,63,1,44,53,2,0,423,1914, , 0.00,29.51,30.24,4.9,5,8.8,2007,5,21,4
25,25,1,2007-05-26,65,49,57,-5,55,56,8,0,422,1915,TSRA RA BR HZ,1.01,29.36,30.11,2.8,17,7.2,2007,5,21,5
26,26,1,2007-05-27,75,57,66,4,47,56,0,1,422,1916,RA BR,0.04,29.34,30.06,8.9,26,9.5,2007,5,21,6
27,27,1,2007-05-28,79,50,65,2,47,56,0,0,421,1916,RA, 0.00,29.43,30.15,4.8,10,5.3,2007,5,22,0
28,28,1,2007-05-29,88,60,74,10,58,65,0,9,421,1917,BR HZ,0.00,29.39,30.11,5.8,18,6.5,2007,5,22,1
29,29,1,2007-05-30,87,66,77,13,58,65,0,12,420,1918,HZ,0.00,29.31,30.04,10.3,19,10.6,2007,5,22,2
30,30,1,2007-05-31,78,65,72,8,61,65,0,7,420,1919,RA HZ,0.01,29.28,30.0,9.3,19,9.9,2007,5,22,3
31,31,1,2007-06-01,85,62,74,10,63,66,0,9,419,1920,TSRA BR HZ,0.19,29.19,29.91,4.2,17,6.4,2007,6,22,4
32,32,1,2007-06-02,81,65,73,9,63,67,0,8,419,1920,RA BR,0.04,29.03,29.77,6.5,22,7.4,2007,6,22,5
33,33,1,2007-06-03,78,62,70,6,60,63,0,5,418,1921,TSRA RA BR HZ,0.01,28.82,29.56,5.2,25,6.7,2007,6,22,6
34,34,1,2007-06-04,71,58,65,1,58,60,0,0,418,1922,TSRA RA BR,0.39,28.82,29.52,7.8,31,9.7,2007,6,23,0
35,35,1,2007-06-05,64,47,56,-9,48,51,9,0,417,1923,RA BR,0.42,29.1,29.79,5.2,5,7.6,2007,6,23,1
36,36,1,2007-06-06,71,44,58,-8,48,55,7,0,417,1923,RA,0.01,29.07,29.81,10.8,17,11.4,2007,6,23,2
